provider,variable,n,bias_mean,mae,rmse,corr,over_pct,under_pct
metno,precipitation,35,-0.11908571428571427,0.11908571428571427,0.43295271929260026,,0.0,11.428571428571429
metno,temperature_2m,35,2.2989428571428574,5.939285714285714,6.623328897594796,-0.33067404122578353,68.57142857142857,31.428571428571427
openmeteo,precipitation,48,-0.09279166666666666,0.09279166666666665,0.3720012880802072,,0.0,10.416666666666668
openmeteo,temperature_2m,48,1.0429166666666665,5.977499999999999,6.706267547352003,-0.5634821109646946,56.25,43.75
openmeteo,wind_direction_100m,48,76.8101875,111.45852083333334,116.61359219939085,0.2606247713669634,85.41666666666666,14.583333333333334
openmeteo,wind_speed_100m,48,9.838270833333334,9.838270833333334,10.810190594411367,0.2450870084305709,100.0,0.0
openweather,temperature_2m,11,2.497636363636364,6.59909090909091,7.28254348674717,-0.4238575692476024,63.63636363636363,36.36363636363637
visualcrossing,precipitation,46,-0.09682608695652173,0.09682608695652171,0.3800022311147316,,0.0,10.869565217391305
visualcrossing,temperature_2m,46,-0.5863913043478263,6.510130434782609,7.406703626357386,-0.45186433714062507,50.0,50.0
weatherapi,precipitation,48,-0.09279166666666666,0.09279166666666665,0.3720012880802072,,0.0,10.416666666666668
weatherapi,temperature_2m,48,0.6470833333333333,6.293708333333334,7.079125081298301,-0.6339266848238024,54.166666666666664,45.83333333333333
