provider,variable,n_provider (l pkt API),n (l dopasowań z ERA5),coverage_pct (% pokrycia ERA5),derived_n (ile wartości dorobiono z 10 m),derived_pct (% dorobionych wartości),bias_mean (błąd średni: pred − ERA5),mae (średni błąd bezwzględny),rmse (pierwiastek średniego błędu kwadratowego),corr (korelacja P),over_pct (% zawyżenia),under_pct (% zanizenia)
metno,precipitation,57,57,100.0,0,0.0,-0.04724561403508772,0.04724561403508772,0.2366367043054847,,0.0,5.263157894736842
metno,temperature_2m,74,74,100.0,0,0.0,2.5602567567567562,5.50122972972973,6.373050666462435,-0.19458789164688853,64.86486486486487,35.13513513513514
metno,wind_direction_100m,74,74,100.0,74,100.0,-96.40141891891892,124.65536486486485,131.29516617298557,0.3607855512136365,14.864864864864865,85.13513513513513
metno,wind_speed_100m,74,74,100.0,74,100.0,-2.029973948106032,2.548873179400333,3.113872665823996,-0.6485915642911383,25.675675675675674,74.32432432432432
openmeteo,precipitation,168,168,100.0,0,0.0,0.0677857142857143,0.20245238095238097,0.5476901278921104,-0.03257456106193261,13.690476190476192,8.928571428571429
openmeteo,temperature_2m,168,168,100.0,0,0.0,-0.5605416666666668,5.1664940476190475,6.155937683883516,-0.19901350422928676,47.61904761904761,52.38095238095239
openmeteo,wind_direction_100m,168,168,100.0,0,0.0,-38.80640476190476,79.1540238095238,94.59184503911932,0.4890044528256619,35.11904761904761,64.88095238095238
openmeteo,wind_speed_100m,168,168,100.0,0,0.0,11.909869047619047,12.250845238095238,15.23272260706567,-0.05275216545901009,89.88095238095238,10.119047619047619
openweather,precipitation,40,40,100.0,0,0.0,-0.05683333333333333,0.09616666666666666,0.387945306855375,-0.03812905209814456,5.0,5.0
openweather,temperature_2m,40,40,100.0,0,0.0,1.1301,5.1559,5.968944148674872,-0.16965862029469858,57.49999999999999,42.5
openweather,wind_direction_100m,40,40,100.0,40,100.0,-51.92755,81.03920000000001,97.31900594282702,0.4120021244387204,27.500000000000004,72.5
openweather,wind_speed_100m,40,40,100.0,40,100.0,-0.2704151052023617,2.5745341694024146,3.149568702652435,-0.28246953624862264,45.0,55.00000000000001
visualcrossing,precipitation,166,166,100.0,0,0.0,-0.03802409638554217,0.11031325301204818,0.42227176768419233,-0.03132902412506723,3.0120481927710845,9.036144578313253
visualcrossing,temperature_2m,166,166,100.0,0,0.0,-0.4349277108433734,5.3432771084337345,6.344087062028894,-0.18000988128925058,50.0,50.0
visualcrossing,wind_direction_100m,166,166,100.0,166,100.0,-7.581740963855421,97.34498192771085,109.49180368562446,0.2807800396186298,50.0,50.0
visualcrossing,wind_speed_100m,166,166,100.0,166,100.0,-1.7682163918487468,2.8424683778678843,3.404500327189497,-0.39857295818518534,30.120481927710845,69.87951807228916
weatherapi,precipitation,168,168,100.0,0,0.0,-0.05179761904761905,0.09477380952380952,0.32830491779383847,-0.04862856351582578,6.547619047619048,8.928571428571429
weatherapi,temperature_2m,168,168,100.0,0,0.0,0.3864821428571429,5.355660714285714,6.289967897279724,-0.30895273713462745,51.78571428571429,48.214285714285715
weatherapi,wind_direction_100m,168,168,100.0,168,100.0,-55.78854761904762,88.8135357142857,102.94531051693696,0.4033144581693113,26.190476190476193,73.80952380952381
weatherapi,wind_speed_100m,168,168,100.0,168,100.0,-0.8561848172967134,2.2479115148790134,2.69923716448407,-0.34804177907122674,38.095238095238095,61.904761904761905
