time,variable,value,latitude,longitude,provider
2025-08-14T15:00:00Z,wind_speed_10m,2.305555555555556,52.2297,21.0122,visualcrossing
2025-08-14T15:00:00Z,wind_direction_10m,89.3,52.2297,21.0122,visualcrossing
2025-08-14T16:00:00Z,temperature_2m,31.0,52.2297,21.0122,visualcrossing
2025-08-14T16:00:00Z,precipitation,0.0,52.2297,21.0122,visualcrossing
2025-08-14T16:00:00Z,wind_speed_10m,2.388888888888889,52.2297,21.0122,visualcrossing
2025-08-14T16:00:00Z,wind_direction_10m,88.9,52.2297,21.0122,visualcrossing
2025-08-14T17:00:00Z,temperature_2m,30.0,52.2297,21.0122,visualcrossing
2025-08-14T17:00:00Z,precipitation,0.0,52.2297,21.0122,visualcrossing
2025-08-14T17:00:00Z,wind_speed_10m,2.1944444444444446,52.2297,21.0122,visualcrossing
2025-08-14T17:00:00Z,wind_direction_10m,83.6,52.2297,21.0122,visualcrossing
2025-08-14T18:00:00Z,temperature_2m,28.0,52.2297,21.0122,visualcrossing
2025-08-14T18:00:00Z,precipitation,0.0,52.2297,21.0122,visualcrossing
2025-08-14T18:00:00Z,wind_speed_10m,1.6944444444444442,52.2297,21.0122,visualcrossing
2025-08-14T18:00:00Z,wind_direction_10m,75.9,52.2297,21.0122,visualcrossing
2025-08-14T19:00:00Z,temperature_2m,26.0,52.2297,21.0122,visualcrossing
2025-08-14T19:00:00Z,precipitation,0.0,52.2297,21.0122,visualcrossing
2025-08-14T19:00:00Z,wind_speed_10m,1.611111111111111,52.2297,21.0122,visualcrossing
2025-08-14T19:00:00Z,wind_direction_10m,79.4,52.2297,21.0122,visualcrossing
2025-08-14T20:00:00Z,temperature_2m,24.4,52.2297,21.0122,visualcrossing
2025-08-14T20:00:00Z,precipitation,0.0,52.2297,21.0122,visualcrossing
2025-08-14T20:00:00Z,wind_speed_10m,1.5,52.2297,21.0122,visualcrossing
2025-08-14T20:00:00Z,wind_direction_10m,82.5,52.2297,21.0122,visualcrossing
2025-08-14T21:00:00Z,temperature_2m,23.1,52.2297,21.0122,visualcrossing
2025-08-14T21:00:00Z,precipitation,0.0,52.2297,21.0122,visualcrossing
2025-08-14T21:00:00Z,wind_speed_10m,1.3888888888888888,52.2297,21.0122,visualcrossing
2025-08-14T21:00:00Z,wind_direction_10m,76.0,52.2297,21.0122,visualcrossing
2025-08-14T22:00:00Z,temperature_2m,21.9,52.2297,21.0122,visualcrossing
2025-08-14T22:00:00Z,precipitation,0.0,52.2297,21.0122,visualcrossing
2025-08-14T22:00:00Z,wind_speed_10m,1.5,52.2297,21.0122,visualcrossing
2025-08-14T22:00:00Z,wind_direction_10m,77.6,52.2297,21.0122,visualcrossing
2025-08-14T23:00:00Z,temperature_2m,20.8,52.2297,21.0122,visualcrossing
2025-08-14T23:00:00Z,precipitation,0.0,52.2297,21.0122,visualcrossing
2025-08-14T23:00:00Z,wind_speed_10m,1.611111111111111,52.2297,21.0122,visualcrossing
2025-08-14T23:00:00Z,wind_direction_10m,98.2,52.2297,21.0122,visualcrossing
2025-08-15T00:00:00Z,temperature_2m,19.9,52.2297,21.0122,visualcrossing
2025-08-15T00:00:00Z,precipitation,0.0,52.2297,21.0122,visualcrossing
2025-08-15T00:00:00Z,wind_speed_10m,1.6944444444444442,52.2297,21.0122,visualcrossing
2025-08-15T00:00:00Z,wind_direction_10m,107.9,52.2297,21.0122,visualcrossing
2025-08-15T01:00:00Z,temperature_2m,19.1,52.2297,21.0122,visualcrossing
2025-08-15T01:00:00Z,precipitation,0.0,52.2297,21.0122,visualcrossing
2025-08-15T01:00:00Z,wind_speed_10m,1.6944444444444442,52.2297,21.0122,visualcrossing
2025-08-15T01:00:00Z,wind_direction_10m,110.1,52.2297,21.0122,visualcrossing
2025-08-15T02:00:00Z,temperature_2m,18.4,52.2297,21.0122,visualcrossing
