hash,timestamp,location_name,lat,lon,start_time,end_time,provider,analysis_type,temperature_2m_rmse,temperature_2m_bias,temperature_2m_correlation,temperature_2m_n,precipitation_rmse,precipitation_bias,precipitation_correlation,precipitation_n,wind_speed_100m_rmse,wind_speed_100m_bias,wind_speed_100m_correlation,wind_speed_100m_n,wind_direction_100m_rmse,wind_direction_100m_bias,wind_direction_100m_correlation,wind_direction_100m_n,overall_score,data_points_total,notes
1985635b8470,2025-08-14 09:12:57.218804+00:00,Warszawa,52.2297,21.0122,2025-08-01T00:00:00Z,2025-08-06T00:00:00Z,openmeteo,forecast_vs_era5,2.2053717237116914,0.8043779276185119,0.8583609673615776,118,1.2293497025366498,0.2540447385129282,-0.0204858532516612,118,12.35473590758509,11.248993523242108,0.1392995458618575,118,29.92524876003684,1.1608847278659626,0.8384825663159992,118,0.3119762967279315,118,Real data analysis vs Real ERA5 from CDS
1985635b8470,2025-08-14 09:12:57.225113+00:00,Warszawa,52.2297,21.0122,2025-08-01T00:00:00Z,2025-08-06T00:00:00Z,weatherapi,forecast_vs_era5,1.6490294924725049,0.115188903808594,0.9101657206745238,120,0.2410683751163431,0.073143992871046,0.4103707282251685,120,1.7251052647937568,-0.5707308730151921,0.1140025016820271,120,25.4619316980341,-0.3006373723347982,0.8732653171336534,120,0.377496740916477,120,Real data analysis vs Real ERA5 from CDS
1985635b8470,2025-08-14 09:12:57.236852+00:00,Warszawa,52.2297,21.0122,2025-08-01T00:00:00Z,2025-08-06T00:00:00Z,visualcrossing,forecast_vs_era5,1.002796018244401,0.1162423343981728,0.9720481396688868,118,0.0765305717676589,-0.005328142843004,-0.0086999431229242,118,2.054116875872536,-1.333492352464105,0.3271205680252578,118,39.62239810269991,-13.483183068744207,0.7848803969397207,118,0.4993019712894048,118,Real data analysis vs Real ERA5 from CDS
5b61b27c02a8,2025-08-14 09:14:44.019183+00:00,Gdansk,54.352,18.6466,2025-08-01T00:00:00Z,2025-08-06T00:00:00Z,openmeteo,forecast_vs_era5,1.3485324536745735,0.8987110202595343,0.8930054533786707,118,0.6491407051868419,0.1191635951374152,-0.018490962580272,118,15.939014792873127,14.376378236382692,0.7984946096352278,118,66.09250906972012,15.28474937354104,0.2483966558977194,118,0.4257978204369178,118,Real data analysis vs Real ERA5 from CDS
5b61b27c02a8,2025-08-14 09:14:44.030496+00:00,Gdansk,54.352,18.6466,2025-08-01T00:00:00Z,2025-08-06T00:00:00Z,weatherapi,forecast_vs_era5,1.5418746537920072,-0.8311547851562494,0.8331824720638566,120,0.2156644433103714,0.0688442018851249,-0.0349175563699986,120,1.949830893380137,-1.390413626829783,0.7732302356139241,120,61.7649723346578,25.629154526193936,0.4733571653976302,120,0.3934104297818875,120,Real data analysis vs Real ERA5 from CDS
5b61b27c02a8,2025-08-14 09:14:44.040717+00:00,Gdansk,54.352,18.6466,2025-08-01T00:00:00Z,2025-08-06T00:00:00Z,visualcrossing,forecast_vs_era5,0.6482031211182508,0.3122703422934327,0.9668280123004444,118,1.086185836437993,0.1772737646289406,-0.0159778555360572,118,2.392468410712455,-1.8987630065551588,0.741994582521884,118,96.39807499695706,-6.740674355272519,-0.1059987070961704,118,0.6067213362158502,118,Real data analysis vs Real ERA5 from CDS
45ae7ec962b7,2025-08-14 09:16:29.193046+00:00,Barcelona,41.3851,2.1734,2025-08-01T00:00:00Z,2025-08-06T00:00:00Z,openmeteo,forecast_vs_era5,1.3537231684416318,0.9733751200013246,0.8437960714945281,118,0.0596706234094299,0.0185385220187372,-0.0310553234346797,118,10.675735267390364,9.569515309950049,0.6472049698630674,118,37.9579618670951,0.5347489179190947,0.7995965215608842,118,0.4248587996276922,118,Real data analysis vs Real ERA5 from CDS
45ae7ec962b7,2025-08-14 09:16:29.203484+00:00,Barcelona,41.3851,2.1734,2025-08-01T00:00:00Z,2025-08-06T00:00:00Z,weatherapi,forecast_vs_era5,1.5473264469799526,1.3867986043294274,0.918731864322695,120,0.0258438950193045,0.0065628799850916,-0.0250160299595408,120,1.5272755396893418,0.2906114074753388,0.4821864245340381,120,39.92805986575069,9.216994222005209,0.7855120523087457,120,0.3925684519883878,120,Real data analysis vs Real ERA5 from CDS
45ae7ec962b7,2025-08-14 09:16:29.272602+00:00,Barcelona,41.3851,2.1734,2025-08-01T00:00:00Z,2025-08-06T00:00:00Z,visualcrossing,forecast_vs_era5,1.7543754009059715,1.3996463064420026,0.9322071615708938,118,0.0011230601816899,-0.0001055457778728,,118,1.508222449509622,0.5200802817014649,0.7419534005588453,118,84.76591632746235,20.848308239952992,0.5026364295224658,118,0.363058717294338,118,Real data analysis vs Real ERA5 from CDS
69840258505e,2025-08-14 09:17:50.795977+00:00,Reykjavik,64.1466,-21.9426,2025-08-01T00:00:00Z,2025-08-06T00:00:00Z,openmeteo,forecast_vs_era5,1.2705885665157657,1.0179995262016683,0.7630981196170445,118,0.3837990056797979,0.1536766950861882,-0.0676513229771946,118,27.83654055648609,25.293082715697206,0.936428763411513,118,22.32200652786605,2.887698933229609,0.8446284260201984,118,0.4404144435266434,118,Real data analysis vs Real ERA5 from CDS
