provider (API),zmienna,n_api,n_era5,pokrycie%,dorobione%,bias,MAE,RMSE,corr,%zawyż,%zaniż
visualcrossing,precipitation,11,11.0,100.0,0.0,-0.10899999999999999,0.10899999999999999,0.2183793613291912,,0.0,27.27272727272727
visualcrossing,temperature_2m,11,11.0,100.0,0.0,8.526000000000002,8.526,8.774516728468972,0.5659317710888028,100.0,0.0
visualcrossing,wind_direction_100m,11,11.0,100.0,0.0,-19.124,20.591454545454543,30.913598367061702,-0.11399439598509616,27.27272727272727,72.72727272727273
visualcrossing,wind_speed_100m,11,11.0,100.0,0.0,0.15224335359231042,1.5207729661582006,1.7477824961586819,-0.8827921501901679,54.54545454545454,45.45454545454545
