provider (API),zmienna,n_api,n_era5,pokrycie%,dorobione%,bias,MAE,RMSE,corr,%zawyż,%zaniż
visualcrossing,precipitation,10,10.0,100.0,0.0,-0.11989999999999998,0.11989999999999998,0.22903820641980235,,0.0,30.0
visualcrossing,temperature_2m,10,10.0,100.0,0.0,12.7283,12.7283,12.795874229610105,0.8655990567362521,100.0,0.0
visualcrossing,wind_direction_100m,10,10.0,100.0,0.0,-117.0453,117.0453,118.44646102058094,0.7090431359251997,0.0,100.0
visualcrossing,wind_speed_100m,10,10.0,100.0,0.0,4.885974398371935,4.885974398371934,5.033522104487215,-0.6308495523885039,100.0,0.0
